Run,BJ,#Nodes,#cores/node,#jobs,Queuing Time,BJ Runtime,Total Runtime,Coordination URL,LRMS URL

0,bigjob:bj-0c08450e-3f5d-11e1-8a7c-00003ea40000:localhost,12,12,1,32.3406369686,799.864739895,799.920992851,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-e8ed4112-3f5e-11e1-8a7c-00003ea40000:localhost,12,12,1,26.2234280109,808.924897909,808.981115103,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-cb3eeb6e-3f60-11e1-8a7c-00003ea40000:localhost,12,12,1,39.7139179707,807.23407793,807.290260077,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
0,bigjob:bj-fd9ec96e-3f72-11e1-8c39-00003e980000:localhost,12,12,2,157.681254864,929.529062986,929.585299015,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-27dfb9c0-3f75-11e1-8c39-00003e980000:localhost,12,12,2,40.4924330711,1061.67108703,1061.72728205,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-a0ec00f6-3f77-11e1-8c39-00003e980000:localhost,12,12,2,20.4482250214,792.304203987,792.360423088,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
3,bigjob:bj-794fa51e-3f79-11e1-8c39-00003e980000:localhost,12,12,2,25.7185280323,782.390779018,782.446964979,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
4,bigjob:bj-4bca6708-3f7b-11e1-8c39-00003e980000:localhost,12,12,2,200.395112991,970.075054884,970.131279945,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
0,bigjob:bj-8469f034-3f7f-11e1-a3ea-00003e980000:localhost,24,12,4,47.7281160355,823.912183046,823.968425035,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-6fa538e6-3f81-11e1-a3ea-00003e980000:localhost,24,12,4,19.7691779137,800.305136919,800.361280918,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-4ccdf19e-3f83-11e1-a3ea-00003e980000:localhost,24,12,4,34.3803191185,810.56427598,810.620491028,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
3,bigjob:bj-30169e64-3f85-11e1-a3ea-00003e980000:localhost,24,12,4,37.2595689297,822.115551949,822.171755075,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
4,bigjob:bj-1a41c558-3f87-11e1-a3ea-00003e980000:localhost,24,12,4,21.2528569698,829.980067968,830.036942005,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
