#Configuration: distribute computation/distribute data.
#Chunksize,  MR-FG  stdev    MR-HC   SS-HC     SS-FG  stdev 
  16        5634.1   215.1  2779.0    466.1    340.0  15.5
  32        3043.7   109.0  1944.0    475.0    388.5  28.1
  64        1905.2    37.3  1761.0    552.4    344.1   5.8
 128        1211.0    38.7  1243.0    668.9    420.0   0.0
 256         837.8    59.1  1062.0   1045.7    528.1  31.9
 512         608.3    16.7           


 	
 	
 	
 	
 	
 	
 
 	
 	
 
