#1BJ/1Machine data/Sync
#	X	XLAbels		Y	Yerror

	1	4(16)		624	8.81
	2	8(32)		685	11.2	
	3	16(64)		802	17
	4	32(28)		1023	34
	5	64(256)		1389	52
	6	128(512)	1949	0
	7	256(1024)	3200	50


#1BJ/1Machine data/Cent
#       X	XLAbels         Y       Yerror
        1	4(16)		628.6	11.1          
        2	8(32)		630	3.23
        3	16(64)		701.83	16.36
        4	32(128)		804	13.4
        5	64(256)		1097	19.2
        6	128(512)	1393	50
        7	256(1024)	1800	50


#1BJ/1Machine data/Decent
#       X       XLAbels         Y       Yerror
        1       4(16)		588.9	5.97
        2       8(32)		609	6.14
        3       16(64)		622	23
        4       32(128)		641	2.4
        5       64(256)		659	0.72
        6       128(512) 	717	8.5
        7       256(1024)	792	25.4
