#1BJ/1Machine data/Sync
#	X	XLAbels		Y	Yerror

	1	4		624	8.81
	2	8		685	11.2	
	3	16		802	17
	4	32		1008	19
	5	64		1403	41
	6	128		1949	50
	7	256		3906	50
	8

#1BJ/1Machine data/Cent
#       X	XLAbels         Y       Yerror

        1	4		628.6	11.1          
        2	8		630	3.23
        3	16		701.83	16.36
        4	32		816	15
        5	64		1127	23
        6	128		1393	50
        7	256		2411	50
	8

#1BJ/1Machine data/Decent
#       X       XLAbels         Y       Yerror

	1       4		588.9	5.97
        2       8		609	6.14
        3       16		622	23
        4       32		642	2
        5       64		660	2
        6       128 		717	8.5
        7       256		792	25.4
	8
