#Number File	Time - Local Advert (in sec)	PD Creation (Local Advert)	PS Creation (Local Advert)	Time - Remote Advert (in sec)	PD Creation Remote Advert	PS Creation (Remote Advert)	Time - Fast Advert (in sec)	PD Creation Fast Advert	PS Creation (Fast Advert)
1	0.029	0.17	0.06	0.75	0.66	2.05	0.2	0.42	0.5213768
2	0.029	0.01	0.06	0.75	0.43	2.07	0.2	0.09	0.536241
4	0.030	0.01	0.06	0.76	0.43	2.06	0.3	0.10	0.5215167
8	0.031	0.01	0.06	0.76	0.43	2.07	0.3	0.10	0.523457
16	0.034	0.01	0.06	0.77	0.44	2.08	0.7	0.09	0.5158061
32	0.039	0.01	0.06	0.76	0.43	2.05	0.6	0.10	0.572921
64	0.049	0.01	0.06	0.82	0.43	2.06	1.1	0.10	0.5036699
128	0.069	0.01	0.06	0.80	0.43	2.06	2.1	0.11	0.5362558
256	0.111	0.01	0.06	0.96	0.44	2.12	4.2	0.11	0.529335
512	0.236	0.01	0.06	1.01	0.43	2.05	8.3	0.10	0.538258
1024	0.441	0.01	0.06	1.18	0.43	2.05	20.2	0.11	0.5589299
2048	0.852	0.01	0.07	1.54	0.43	2.06	43.0	0.11	0.605973
4096	1.604	0.01	0.07	2.22	0.44	2.08	110.5	0.11	0.7389659
8192	2.976	0.01	0.07	3.63	0.43	2.07	323.6	0.12	0.9693999
16384	5.716	0.01	0.08	6.48	0.43	2.09	1013.7	0.15	1.2234539
32768	11.095	0.01	0.09	12.11	0.42	2.15
