"Run","BJ","#Nodes","#cores/node","#jobs","Queuing Time","BJ Runtime","Total Runtime","Coordination URL","LRMS URL"
0,bigjob:bj-887db1c6-910d-11e1-b0d6-00259019a082:trestles.sdsc.edu,16,16,1,954.949452877,1904.65635991,1905.09306598,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
0,bigjob:bj-6eaa9054-9115-11e1-98f3-00259019a082:trestles.sdsc.edu,16,16,2,2756.73238182,3690.61592293,3691.06154394,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
1,bigjob:bj-074da80c-911e-11e1-98f3-00259019a082:trestles.sdsc.edu,16,16,2,763.493485928,1723.08778095,1723.53169107,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
0,bigjob:bj-0e36ce2c-9124-11e1-8878-00259019a082:trestles.sdsc.edu,16,16,4,926.053879023,1960.30431008,1960.74342513,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
1,bigjob:bj-9f8569ac-9128-11e1-8878-00259019a082:trestles.sdsc.edu,16,16,4,3333.14916897,4343.17374802,4343.71533394,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
0,bigjob:bj-7d5abb86-9135-11e1-9521-00259019a082:trestles.sdsc.edu,16,16,8,37.0591268539,1116.88798904,1117.33498502,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
1,bigjob:bj-17ff803e-9138-11e1-9521-00259019a082:trestles.sdsc.edu,16,16,8,57.4860219955,1199.46437597,1200.04477,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
2,bigjob:bj-e3f22442-913a-11e1-9521-00259019a082:trestles.sdsc.edu,16,16,8,2489.03089905,3594.51413703,3595.05339098,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
0,bigjob:bj-77e71942-9144-11e1-a3da-00259019a082:trestles.sdsc.edu,16,16,16,215.984438896,1851.46343207,1851.90195394,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
1,bigjob:bj-c9cb5f94-9148-11e1-a3da-00259019a082:trestles.sdsc.edu,16,16,16,1587.50521493,2996.02863288,2996.47670388,redis://ILikeBigJob_wITH-REdIS@gw68.quarry.iu.teragrid.org:6379,pbs-ssh://luckow@trestles.sdsc.edu
